"Date","Price","Open","High","Low","Vol.","Change %"
"07/20/2015","43.20","43.17","43.33","42.79","8.21K","0.68%"
"07/17/2015","42.91","43.10","43.20","42.90","7.21K","-1.04%"
"07/16/2015","43.36","43.25","43.65","43.25","7.07K","0.25%"
"07/15/2015","43.25","43.25","43.56","43.22","7.06K","-0.02%"
"07/14/2015","43.26","43.95","44.16","43.21","9.98K","-1.19%"
"07/13/2015","43.78","43.90","44.05","43.75","9.75K","-0.45%"
"07/10/2015","43.98","43.51","44.25","43.51","8.42K","0.76%"
"07/09/2015","43.65","43.36","43.71","43.25","6.24K","1.21%"
"07/08/2015","43.13","42.79","43.41","42.66","7.17K","0.84%"
"07/07/2015","42.77","42.65","42.91","42.65","4.84K","-0.21%"
"07/06/2015","42.86","43.15","43.31","42.75","7.07K","-0.65%"
"07/03/2015","43.14","43.15","43.50","43.09","6.08K","-0.09%"
"07/02/2015","43.18","42.70","43.30","42.48","8.71K","1.41%"
"07/01/2015","42.58","42.10","42.75","42.08","7.71K","1.07%"
"06/30/2015","42.13","41.73","42.30","41.70","5.29K","-0.09%"
"06/29/2015","42.17","42.05","42.40","41.92","11.87K","-0.45%"
"06/26/2015","42.36","42.70","42.89","42.35","7.06K","-0.80%"
"06/25/2015","42.70","42.72","42.89","42.55","10.86K","-1.32%"
"06/24/2015","43.27","43.05","43.37","42.96","7.61K","-0.25%"
"06/23/2015","43.38","43.55","43.95","43.12","14.23K","-0.80%"
"06/22/2015","43.73","42.20","43.90","42.00","12.10K","2.99%"
"06/19/2015","42.46","42.65","42.65","42.35","6.80K","0.47%"
"06/18/2015","42.26","41.65","42.40","41.60","10.26K","0.79%"
"06/17/2015","41.93","42.35","42.47","41.90","16.23K","-1.60%"
"06/16/2015","42.61","42.35","42.71","42.35","4.88K","0.73%"
"06/15/2015","42.30","42.45","42.71","42.26","9.49K","0.00%"
"06/12/2015","42.30","42.40","42.58","42.14","9.59K","-0.21%"
"06/11/2015","42.39","43.34","43.35","42.35","13.21K","-2.39%"
"06/10/2015","43.43","43.80","43.92","43.34","10.77K","-0.55%"
"06/09/2015","43.67","44.00","44.00","43.01","14.85K","0.32%"
"06/08/2015","43.53","42.75","43.67","42.75","10.33K","2.30%"
