"Date","Price","Open","High","Low","Vol.","Change %"
"11/12/2019","55.30","55.35","55.35","55.35","0.00K","0.18%"
"11/11/2019","55.20","55.45","55.45","55.30","0.05K","-1.08%"
"11/08/2019","55.80","55.80","55.80","55.80","0.01K","-0.71%"
"11/07/2019","56.20","56.10","56.15","56.00","0.05K","0.18%"
"11/06/2019","56.10","56.10","56.10","56.10","0.05K","-1.41%"
"11/05/2019","56.90","56.90","56.90","56.90","0.05K","0.26%"
"11/04/2019","56.75","56.25","56.80","56.25","0.09K","-0.35%"
"11/01/2019","56.95","56.95","56.95","56.95","","0.98%"
"10/31/2019","56.40","56.25","56.50","55.80","0.18K","0.36%"
"10/30/2019","56.20","57.25","57.25","56.15","0.10K","-0.88%"
"10/29/2019","56.70","56.50","56.60","56.40","0.07K","0.53%"
"10/28/2019","56.40","56.40","56.40","56.00","0.21K","-6.23%"
"10/25/2019","60.15","60.15","60.15","60.15","","0.42%"
"10/24/2019","59.90","59.90","59.90","59.90","","-0.42%"
"10/23/2019","60.15","60.15","60.15","60.15","","0.00%"
"10/22/2019","60.15","60.15","60.15","60.15","","0.08%"
"10/21/2019","60.10","60.10","60.10","60.10","","0.17%"
"10/18/2019","60.00","60.00","60.00","60.00","0.00K","-0.17%"
"10/17/2019","60.10","60.10","60.10","60.10","","-0.25%"
"10/16/2019","60.25","60.25","60.25","60.25","","-0.30%"
"10/15/2019","60.43","61.00","61.00","60.50","0.03K","-0.80%"
"10/14/2019","60.92","60.75","60.75","60.70","0.02K","0.28%"
"10/11/2019","60.75","61.00","61.00","60.50","0.06K","0.08%"
"10/10/2019","60.70","60.70","60.70","60.70","0.16K","-0.08%"
"10/09/2019","60.75","61.50","61.50","61.00","0.11K","-0.90%"
"10/08/2019","61.30","60.25","61.20","60.25","0.28K","1.74%"
"10/07/2019","60.25","60.25","60.25","60.25","0.03K","1.01%"
"10/04/2019","59.65","59.65","59.65","59.65","0.03K","0.76%"
"10/03/2019","59.20","59.50","59.50","59.50","0.04K","-0.34%"
"10/02/2019","59.40","59.80","59.80","59.80","0.08K","-1.00%"
"10/01/2019","60.00","59.25","60.00","59.25","0.23K","-1.48%"
"09/30/2019","60.90","59.80","60.50","59.50","0.16K","0.83%"
"09/27/2019","60.40","60.40","60.40","60.40","","-0.82%"
"09/26/2019","60.90","60.90","60.90","60.90","","1.08%"
"09/25/2019","60.25","60.25","60.25","60.25","","-1.23%"
"09/24/2019","61.00","61.00","61.00","61.00","","0.16%"
"09/23/2019","60.90","60.90","60.90","60.90","","-0.57%"
"09/20/2019","61.25","61.25","61.25","61.25","","0.57%"
"09/19/2019","60.90","60.90","60.90","60.90","","-0.25%"
